1:	Action: S_2
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115]
 	Input Queue: [id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

161:	Action: S_41
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, id, 41]
 	Input Queue: [+, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

162:	Action: R_factor_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33]
 	Input Queue: [+, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

163:	Action: S_57
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, +, 57]
 	Input Queue: [integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

164:	Action: R_arithop_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, arithop, 60]
 	Input Queue: [integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

165:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, arithop, 60, integer_constant, 27]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

166:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, arithop, 60, factor, 82]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

167:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, arithop, 60, factor, 82, term', 96]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

168:	Action: R_term'_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, factor, 33, term', 55]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

169:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, term, 32]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

170:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, term, 32, expr', 50]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

171:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117]
 	Input Queue: [), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

172:	Action: S_118
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118]
 	Input Queue: [{, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

173:	Action: S_119
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119]
 	Input Queue: [id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

174:	Action: S_17
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17]
 	Input Queue: [=, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

175:	Action: S_43
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43]
 	Input Queue: [id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

176:	Action: S_67
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, id, 67]
 	Input Queue: [+, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

177:	Action: R_factor_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74]
 	Input Queue: [+, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

178:	Action: S_57
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, +, 57]
 	Input Queue: [integer_constant, ;, }, id, =, integer_constant, ;, }, $]

179:	Action: R_arithop_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, arithop, 60]
 	Input Queue: [integer_constant, ;, }, id, =, integer_constant, ;, }, $]

180:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, arithop, 60, integer_constant, 27]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

181:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, arithop, 60, factor, 82]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

182:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, arithop, 60, factor, 82, term', 96]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

183:	Action: R_term'_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, factor, 74, term', 91]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

184:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, term, 73]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

185:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, term, 73, expr', 90]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

186:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, expr, 72]
 	Input Queue: [;, }, id, =, integer_constant, ;, }, $]

187:	Action: S_89
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, id, 17, =, 43, expr, 72, ;, 89]
 	Input Queue: [}, id, =, integer_constant, ;, }, $]

188:	Action: R_assignmentStmt_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, assignmentStmt, 34]
 	Input Queue: [}, id, =, integer_constant, ;, }, $]

189:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, stmt, 38]
 	Input Queue: [}, id, =, integer_constant, ;, }, $]

190:	Action: R_stmts_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, stmts, 120]
 	Input Queue: [}, id, =, integer_constant, ;, }, $]

191:	Action: S_121
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, for, 28, (, 47, id, 78, =, 93, expr, 103, ;, 106, expr, 109, ;, 111, id, 113, =, 115, expr, 117, ), 118, {, 119, stmts, 120, }, 121]
 	Input Queue: [id, =, integer_constant, ;, }, $]

192:	Action: R_forLoop_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, forLoop, 20]
 	Input Queue: [id, =, integer_constant, ;, }, $]

193:	Action: R_stmt_6
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [id, =, integer_constant, ;, }, $]

194:	Action: S_17
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17]
 	Input Queue: [=, integer_constant, ;, }, $]

195:	Action: S_43
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43]
 	Input Queue: [integer_constant, ;, }, $]

196:	Action: S_70
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, integer_constant, 70]
 	Input Queue: [;, }, $]

197:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, factor, 74]
 	Input Queue: [;, }, $]

198:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, factor, 74, term', 91]
 	Input Queue: [;, }, $]

199:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, term, 73]
 	Input Queue: [;, }, $]

200:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, term, 73, expr', 90]
 	Input Queue: [;, }, $]

201:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, expr, 72]
 	Input Queue: [;, }, $]

202:	Action: S_89
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, id, 17, =, 43, expr, 72, ;, 89]
 	Input Queue: [}, $]

203:	Action: R_assignmentStmt_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, assignmentStmt, 34]
 	Input Queue: [}, $]

204:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38]
 	Input Queue: [}, $]

205:	Action: R_stmts_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

206:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

207:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

208:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

209:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

210:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

211:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmts, 62]
 	Input Queue: [}, $]

212:	Action: R_stmts_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmts, 21]
 	Input Queue: [}, $]

213:	Action: S_45
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmts, 21, }, 45]
 	Input Queue: [$]

214:	Action: R_prog_0
 	Stack: [0, prog, 3]
 	Input Queue: [$]

Accepted
